GeoID,State,Insured,Uninsured
0400000US01,Alabama,4551357,437268
0400000US02,Alaska,624538,76973
0400000US04,Arizona,6503212,748712
0400000US05,Arkansas,2739056,252143
0400000US06,California,36056827,2491843
0400000US08,Colorado,5333838,408525
0400000US09,Connecticut,3397320,184916
0400000US10,Delaware,948761,56790
0400000US11,District of Columbia,641951,19474
0400000US12,Florida,19456522,2447725
0400000US13,Georgia,9466834,1251216
0400000US15,Hawaii,1334867,48833
0400000US16,Idaho,1755313,156638
0400000US17,Illinois,11600171,813235
0400000US18,Indiana,6268108,469462
0400000US19,Iowa,3012541,140796
0400000US20,Kansas,2629152,247070
0400000US21,Kentucky,4181313,246961
0400000US22,Louisiana,4181812,312196
0400000US23,Maine,1278243,89783
0400000US24,Maryland,5704646,368393
0400000US25,Massachusetts,6751464,167659
0400000US26,Michigan,9478301,451480
0400000US27,Minnesota,5403146,254423
0400000US28,Mississippi,2560538,311574
0400000US29,Missouri,5550588,520745
0400000US30,Montana,1013725,91272
0400000US31,Nebraska,1810341,129571
0400000US32,Nevada,2790616,348688
0400000US33,New Hampshire,1311639,67521
0400000US34,New Jersey,8540977,627147
0400000US35,New Mexico,1903882,170469
0400000US36,New York,18530250,944796
0400000US37,North Carolina,9507748,973095
0400000US38,North Dakota,713892,48630
0400000US39,Ohio,10905166,682549
0400000US40,Oklahoma,3469379,460880
0400000US41,Oregon,3947034,252437
0400000US42,Pennsylvania,12108906,680937
0400000US44,Rhode Island,1031520,45382
0400000US45,South Carolina,4715009,470480
0400000US46,South Dakota,816897,71588
0400000US47,Tennessee,6304432,647059
0400000US48,Texas,24640517,4898967
0400000US49,Utah,3081265,272623
0400000US50,Vermont,615515,24801
0400000US51,Virginia,7901373,545005
0400000US53,Washington,7199483,467558
0400000US54,West Virginia,1638252,103070
0400000US55,Wisconsin,5528608,302843
0400000US56,Wyoming,505145,65619
0400000US72,Puerto Rico,3033339,161468
